name,family,gf_type,incoming_velocity,outgoing_velocity,angle
assistant_3_0_090_flag_gk,official,official,sprint,idle,090
assistant_3_0_090_flag_middle_point_000,official,official,sprint,idle,090
assistant_3_0_090_flag_up,official,official,sprint,idle,090
assistant_3_0_f090_flag_gk,official,official,sprint,idle,090
assistant_3_0_f090_flag_middle_point_f180,official,official,sprint,idle,090
assistant_3_0_f090_flag_up,official,official,sprint,idle,090
assistant_flag_up_0,official,official,,,
assistant_flag_up_0_flag_ck,official,official,,,
assistant_flag_up_0_flag_down,official,official,,,
assistant_flag_up_0_offside_far,official,official,,,
assistant_flag_up_0_offside_middle,official,official,,,
assistant_flag_up_0_offside_near,official,official,,,
assistant_flag_up_0_wave,official,official,,,
assistant_idle_0_flag_gk,official,official,,,
assistant_idle_0_flag_up,official,official,,,
assistant_idle_0_point_f090,official,official,,,090
assistant_stand_0,official,official,,,
avoidjump_1_1_slide,other,unknown,dribble,dribble,
avoidjump_2_2_low,other,unknown,walk,walk,
avoidjump_3_3,other,unknown,sprint,sprint,
avoidjump_3_3_high,other,unknown,sprint,sprint,
avoidjump_3_3_low,other,unknown,sprint,sprint,
avoidjump_4_4_low,other,unknown,sprint,sprint,
avoidslide_2_2_000_rapid_low,other,unknown,walk,walk,000
avoidslide_3_3_000,other,unknown,sprint,sprint,000
avoidslide_3_3_000_rapid_low,other,unknown,sprint,sprint,000
avoidslide_3_3_000_rapid_low_v2,other,unknown,sprint,sprint,000
avoidslide_3_3_000_rapid_up,other,unknown,sprint,sprint,000
avoidslide_4_4_000,other,unknown,sprint,sprint,000
avoidslide_4_4_000_rapid_low,other,unknown,sprint,sprint,000
avoidslide_4_4_000_rapid_up,other,unknown,sprint,sprint,000
back_1_1_relax,other,unknown,dribble,dribble,
back_2_0,other,unknown,walk,idle,
back_2_1_walk_f045,other,unknown,walk,dribble,045
back_2_1_walk_f090,other,unknown,walk,dribble,090
back_2_2,other,unknown,walk,walk,
back_2_2_relax,other,unknown,walk,walk,
back_2_2_run_180,other,unknown,walk,walk,180
back_2_2_run_180_v2,other,unknown,walk,walk,180
back_2_2_run_f045,other,unknown,walk,walk,045
back_2_2_run_f135,other,unknown,walk,walk,135
back_2_2_run_slow,other,unknown,walk,walk,
back_2_2_side,other,unknown,walk,walk,
back_2_2_side_135,other,unknown,walk,walk,135
back_2_2_side_f045,other,unknown,walk,walk,045
back_2_2_side_f090,other,unknown,walk,walk,090
back_2_2_side_f135,other,unknown,walk,walk,135
back_2_2_side_f135_v2,other,unknown,walk,walk,135
back_2_2_side_f180,other,unknown,walk,walk,180
back_2_2_side_f180_hurry,other,unknown,walk,walk,180
back_2_2_side_f180_v2,other,unknown,walk,walk,180
back_2_2_twostep_relax,other,unknown,walk,walk,
back_2_3_run_180,other,unknown,walk,sprint,180
back_2_3_run_f090,other,unknown,walk,sprint,090
back_2_3_side,other,unknown,walk,sprint,
back_2_3_side_000_hurry,other,unknown,walk,sprint,000
back_2_3_side_f180_hurry,other,unknown,walk,sprint,180
back_2_4_run,other,unknown,walk,sprint,
back_2_4_run_045,other,unknown,walk,sprint,045
back_2_4_run_045_hurry,other,unknown,walk,sprint,045
back_2_4_run_090,other,unknown,walk,sprint,090
back_2_4_run_090_hurry,other,unknown,walk,sprint,090
back_2_4_run_135,other,unknown,walk,sprint,135
back_2_4_run_135_hurry,other,unknown,walk,sprint,135
back_2_4_run_180,other,unknown,walk,sprint,180
back_2_4_run_180_hurry,other,unknown,walk,sprint,180
back_2_4_run_225,other,unknown,walk,sprint,225
back_2_4_run_270,other,unknown,walk,sprint,270
back_2_4_run_hurry,other,unknown,walk,sprint,
back_3_1_walk_180_lose,other,unknown,sprint,dribble,180
back_3_3,other,unknown,sprint,sprint,
back_3_3_bend,other,unknown,sprint,sprint,
back_3_3_neardelayside_f045,other,unknown,sprint,sprint,045
back_3_3_neardelayside_f090,other,unknown,sprint,sprint,090
back_3_3_parallel_090,other,unknown,sprint,sprint,090
back_3_3_run,other,unknown,sprint,sprint,
back_3_3_run_045_backside,other,unknown,sprint,sprint,045
back_3_3_run_180,other,unknown,sprint,sprint,180
back_3_3_run_f045,other,unknown,sprint,sprint,045
back_3_3_run_f090,other,unknown,sprint,sprint,090
back_3_3_side_f045,other,unknown,sprint,sprint,045
back_3_3_side_f090,other,unknown,sprint,sprint,090
back_3_4_run,other,unknown,sprint,sprint,
backslant_1_1_relax,other,unknown,dribble,dribble,
backslant_1_1_relax_v2,other,unknown,dribble,dribble,
backslant_1_1_timingstep,other,unknown,dribble,dribble,
backslant_2_0,other,unknown,walk,idle,
backslant_2_2,other,unknown,walk,walk,
backslant_3_3,other,unknown,sprint,sprint,
backslant_3_4_run,other,unknown,sprint,sprint,
backstep_1_1_relax,other,unknown,dribble,dribble,
backstep_1_1_relax_v2,other,unknown,dribble,dribble,
block090_0_0_y00_180_far,other,unknown,idle,idle,180
block090_3_0_y00_000_far_L,other,unknown,sprint,idle,000
block090_3_0_y00_000_far_R,other,unknown,sprint,idle,000
block090_3_0_y00_000_near,other,unknown,sprint,idle,000
block090_3_0_y00_000_sliding_L,other,unknown,sprint,idle,000
block090_3_0_y00_000_twist,other,unknown,sprint,idle,000
block090_3_0_y00_180,other,unknown,sprint,idle,180
block090_3_0_y00_180_heel,other,unknown,sprint,idle,180
block090_3_0_y00_180_rear_kneedown,other,unknown,sprint,idle,180
block090_3_0_y02_000_fishdive,other,unknown,sprint,idle,000
block090_3_0_y02_000_sliding,other,unknown,sprint,idle,000
block090_3_0_y02_000_sliding_heel,other,unknown,sprint,idle,000
block090_3_0_y02_180_rear_clear,other,unknown,sprint,idle,180
block090_3_0_y03_000_far,other,unknown,sprint,idle,000
block090_3_0_y03_000_sliding_R,other,unknown,sprint,idle,000
block090_3_0_y03_180_divehead,other,unknown,sprint,idle,180
block090_3_0_y04_000_far,other,unknown,sprint,idle,000
block090_3_0_y04_000_far_L,other,unknown,sprint,idle,000
block090_3_0_y04_000_near,other,unknown,sprint,idle,000
block090_3_0_y04_000_sliding_L,other,unknown,sprint,idle,000
block090_3_0_y04_180_rear,other,unknown,sprint,idle,180
block090_3_0_y05_000_near_hip,other,unknown,sprint,idle,000
block090_3_0_y06_000_far,other,unknown,sprint,idle,000
block090_3_0_y06_000_foot_high_L,other,unknown,sprint,idle,000
block090_3_0_y06_000_near,other,unknown,sprint,idle,000
block090_3_0_y07_180_rear_head,other,unknown,sprint,idle,180
block090_3_2_y01_000_near_clear,other,unknown,sprint,walk,000
block090_3_2_y02_000_near_back,other,unknown,sprint,walk,000
block_0_0_y00_000_near,other,unknown,idle,idle,000
block_0_0_y00_000_very_near_look_f090,other,unknown,idle,idle,000
block_0_0_y00_f090,other,unknown,idle,idle,090
block_0_0_y00_f090_far_down_onehand,other,unknown,idle,idle,090
block_0_0_y00_f090_far_down_onehand_quick,other,unknown,idle,idle,090
block_0_0_y00_f090_far_v2,other,unknown,idle,idle,090
block_0_0_y00_f090_kneedown_look_f090,other,unknown,idle,idle,090
block_0_0_y00_f090_near_rear,other,unknown,idle,idle,090
block_0_0_y00_f090_veryfar,other,unknown,idle,idle,090
block_0_0_y01_000,other,unknown,idle,idle,000
block_0_0_y01_000_look_090,other,unknown,idle,idle,000
block_0_0_y01_f090_far,other,unknown,idle,idle,090
block_0_0_y01_f090_far_down,other,unknown,idle,idle,090
block_0_0_y02_000,other,unknown,idle,idle,000
block_0_0_y02_000_near_thigh,other,unknown,idle,idle,000
block_0_0_y02_000_near_thigh_look_090,other,unknown,idle,idle,000
block_0_0_y02_f090_far,other,unknown,idle,idle,090
block_0_0_y02_f090_far_kneedown,other,unknown,idle,idle,090
block_0_0_y03_000,other,unknown,idle,idle,000
block_0_0_y03_000_down,other,unknown,idle,idle,000
block_0_0_y03_000_near_thigh,other,unknown,idle,idle,000
block_0_0_y03_000_near_thigh_bend_backward,other,unknown,idle,idle,000
block_0_0_y03_f090_far,other,unknown,idle,idle,090
block_0_0_y03_f090_near_thigh,other,unknown,idle,idle,090
block_0_0_y04_000,other,unknown,idle,idle,000
block_0_0_y04_000_look_090,other,unknown,idle,idle,000
block_0_0_y04_090_bodyblock_down,other,unknown,idle,idle,090
block_0_0_y04_f090_far_heel,other,unknown,idle,idle,090
block_0_0_y04_f090_side_near,other,unknown,idle,idle,090
block_0_0_y04_f090_side_near_thigh,other,unknown,idle,idle,090
block_0_0_y06_000_bodyblock,other,unknown,idle,idle,000
block_0_0_y06_000_near,other,unknown,idle,idle,000
block_0_0_y07_f090_side,other,unknown,idle,idle,090
block_2_0_y01_000,other,unknown,walk,idle,000
block_2_0_y04_000_look_270,other,unknown,walk,idle,000
block_2_1_y00_000,other,unknown,walk,dribble,000
block_2_1_y00_f090_near,other,unknown,walk,dribble,090
block_3_0_y00_000,other,unknown,sprint,idle,000
block_3_0_y00_000_near_axisback,other,unknown,sprint,idle,000
block_3_0_y00_000_stagger,other,unknown,sprint,idle,000
block_3_0_y00_f090,other,unknown,sprint,idle,090
block_3_0_y02_000_look_f090,other,unknown,sprint,idle,000
block_3_0_y04_090_L,other,unknown,sprint,idle,090
block_3_0_y04_090_R,other,unknown,sprint,idle,090
block_3_0_y06_000,other,unknown,sprint,idle,000
block_side_2_0_y02_000_far,other,unknown,walk,idle,000
blockhead_0_0_y04_000_down,other,unknown,idle,idle,000
blockhead_0_0_y04_f090_down,other,unknown,idle,idle,090
blockhead_0_0_y04_f090_near_down,other,unknown,idle,idle,090
blockhead_0_0_y04_f090_side_down,other,unknown,idle,idle,090
blockhead_0_0_y05_000,other,unknown,idle,idle,000
blockhead_0_0_y05_f090_down,other,unknown,idle,idle,090
blockhead_0_0_y05_f090_down_backhand,other,unknown,idle,idle,090
blockhead_0_0_y05_f090_near,other,unknown,idle,idle,090
blockhead_0_0_y05_f090_stagger,other,unknown,idle,idle,090
blockhead_0_0_y06_000_side,other,unknown,idle,idle,000
blockhead_0_0_y06_f090_far_down,other,unknown,idle,idle,090
blockhead_0_0_y09_f090_side,other,unknown,idle,idle,090
blockhead_side_2_0_y05_f180_down,other,unknown,walk,idle,180
dm_fail_run_3_1_walk_bendBack_000,cutscene,special,sprint,dribble,000
dm_fail_run_3_1_walk_bendBack_000_2,cutscene,special,sprint,dribble,000
dm_fail_run_3_1_walk_bendBack_000_3,cutscene,special,sprint,dribble,000
dm_fail_walk_1_1_walk_bendBack_000,cutscene,special,dribble,dribble,000
